GrLivArea,OverallQual,TotalBsmtSF
1828,9,1822
894,5,894
964,5,876
1689,8,1568
1541,7,1541
1221,7,1221
1324,6,1088
1416,7,696
988,4,462
1218,6,735
1656,7,746
1362,6,1362
1839,6,756
1375,6,1367
1122,5,924
1432,5,1360
1456,7,728
1217,7,1188
1040,5,0
1224,6,612
1774,7,952
1367,5,861
1360,5,803
848,6,848
2262,8,1482
1220,4,836
1414,7,1375
2058,6,735
1198,6,901
1659,8,1501
1012,6,1012
3082,7,824
1812,5,360
1929,7,1057
954,5,911
1838,9,1838
1640,6,1296
1148,5,1148
950,5,950
1911,8,777
1635,6,1065
1316,7,1316
1442,6,1442
1078,5,1078
1120,4,1040
1419,8,408
1389,7,651
1063,5,1056
1792,9,1792
1216,6,1216
1762,7,596
1959,7,847
1208,6,1208
1524,5,874
1154,4,796
1048,5,0
886,5,190
943,5,943
1768,7,866
2599,9,1393
912,5,912
882,5,0
1337,6,1405
2076,10,2076
2531,8,1318
1768,5,731
1625,8,1573
2144,6,1444
2775,10,1237
1868,6,585
1525,7,1525
1571,8,1571
796,5,796
2372,5,994
1472,7,384
960,4,648
1838,5,732
1309,6,1040
2643,9,2153
1131,5,676
1960,5,960
1144,5,1144
1056,6,1056
693,4,693
1494,6,1479
1646,8,1594
864,5,864
1566,8,1566
1395,6,723
1208,4,780
1513,5,939
1367,6,884
955,5,955
1077,3,1007
1056,5,1056
1553,7,756
1614,7,1614
2042,8,2042
1073,5,1073
1285,5,672
2117,6,1205
605,4,528
1150,5,1150
1456,6,728
999,7,944
1500,6,750
1336,5,1165
1593,6,839
2184,9,1104
1560,7,1560
1644,5,728
630,4,630
1113,6,1143
2172,7,1063
1346,4,560
2610,8,1184
1958,7,1026
1468,8,1468
1734,5,0
1200,5,768
1550,7,1092
2230,4,795
1639,6,1064
864,5,864
1621,7,1208
987,6,483
2519,7,1210
1365,5,765
2290,8,1128
2596,9,1249
907,4,907
1456,6,855
1190,5,1106
858,4,858
2223,7,2223
1005,4,1005
1895,7,712
1040,5,1040
1264,5,1268
1761,7,874
1034,6,1012
1363,7,1385
1689,6,1436
2113,8,2109
1573,7,1573
2364,9,2330
2034,7,1057
1291,6,1291
858,5,858
1258,6,560
438,2,290
1400,6,672
954,5,920
1445,6,1127
1072,6,547
1664,5,0
2134,6,844
3194,8,965
1824,6,912
1756,6,872
912,5,912
1509,6,1461
1608,6,976
1316,6,1316
1015,5,768
1134,5,756
1636,8,1623
1320,7,660
2126,5,1013
1128,5,1120
1306,5,992
1344,4,546
2554,7,718
893,5,845
1933,6,894
1218,6,672
1969,7,808
2090,8,1220
1484,5,1484
1656,5,1656
1224,6,818
2054,6,992
854,7,832
1092,4,546
1268,5,1268
1661,7,799
1668,8,1657
1493,6,1478
932,6,932
1277,7,1277
1530,7,1530
1344,5,1024
860,5,840
1314,7,1314
1962,7,1391
1490,7,788
848,6,848
672,5,672
2340,7,1152
1656,5,660
1479,7,725
1226,7,1226
2087,6,832
1158,6,1158
1154,5,1154
1724,7,880
1658,6,773
1126,4,0
1393,5,816
3447,8,728
987,6,483
1355,5,644
2069,7,585
1501,7,744
1976,8,1976
1563,8,1563
1111,7,572
1502,7,776
1733,3,0
2728,9,1848
1302,5,630
1524,7,1332
1588,4,0
1125,5,1125
1200,7,600
1640,6,798
2127,7,1223
972,6,972
2020,8,1128
1144,5,1144
1352,5,1062
1316,5,926
1924,8,1086
1164,5,1164
952,5,952
2358,8,684
1680,6,880
1912,6,482
1004,6,1004
1230,4,747
1167,5,915
1301,5,1145
1453,7,1453
1601,8,1581
1588,8,1588
1095,6,588
1050,5,1050
960,4,960
1456,5,810
1489,6,1489
1726,7,1726
2082,7,1362
1339,7,1309
2450,8,1284
1863,7,879
768,5,768
334,1,0
1136,6,1136
1337,6,1237
912,5,912
1812,5,864
2192,5,720
1184,5,658
1889,7,925
1327,5,1063
1422,6,1422
1632,5,1632
1630,7,1630
1526,3,1013
1040,4,0
1647,6,806
1981,4,1122
1644,6,1416
2574,8,1482
1824,6,764
1350,6,1248
958,6,958
1848,6,833
1620,4,1281
1167,6,1158
1487,6,735
892,5,892
804,5,788
1140,5,1140
1796,6,780
2030,6,848
2007,10,1017
691,5,691
1590,8,768
1855,6,994
1804,7,994
1768,7,884
3627,10,1930
1298,6,1298
1801,7,1501
630,5,630
1103,6,1103
1178,4,859
1196,4,1196
1372,7,1372
1431,6,1099
1422,7,1422
1953,6,1580
1121,4,1121
2473,8,1143
1057,5,1057
1110,5,1097
2270,8,1152
2018,9,2002
1386,6,672
1953,8,1082
1337,8,1337
2285,8,969
1718,8,1705
1086,5,1024
1555,7,1373
1902,7,1902
2514,7,1216
1224,5,1086
1054,6,1054
2612,8,1225
902,5,876
2353,7,845
1392,6,689
1155,5,1109
1904,5,1208
1158,6,862
1362,6,611
2291,7,975
1317,4,649
1734,8,1734
1194,6,1194
1416,5,876
1383,5,1383
2002,5,1001
1496,8,1496
1604,5,984
764,5,680
1732,6,741
1494,7,1494
986,6,960
1145,7,1145
1484,6,742
1344,6,819
1539,5,650
2504,9,1122
747,4,600
2097,7,1108
4676,10,3138
1176,6,698
720,4,720
1580,8,1580
1440,4,1440
1476,6,738
1500,7,1500
1348,5,884
1200,5,864
1394,6,1394
1632,6,800
912,5,912
2624,6,1370
1696,5,1140
1230,5,440
2727,8,853
1456,6,728
864,4,864
1709,6,970
1665,8,810
2646,7,1347
1640,7,798
1699,3,978
1663,4,1364
1728,5,1728
1845,6,1055
1851,6,822
1489,8,1489
864,6,864
1256,5,1256
816,5,816
1820,7,864
2127,7,1104
1065,5,1065
1200,6,1200
1208,7,1187
2482,8,1094
1720,7,1720
840,5,672
1294,6,1278
1090,5,1090
2263,8,1141
969,5,969
894,3,894
1028,5,1008
1958,6,979
1795,8,1795
1940,9,1930
1178,5,1176
1482,6,672
1428,7,1417
864,5,864
1111,5,616
1470,6,680
1116,6,1116
864,6,864
1297,5,1297
1113,5,1113
1501,7,1490
1547,7,756
1947,7,991
1717,8,1709
1052,6,1010
2013,7,1117
1266,7,1266
2868,9,1992
2256,7,952
1414,7,1414
1721,6,928
1552,6,713
1128,4,698
1118,6,1096
1728,6,1728
2448,8,1629
1473,5,1437
1717,7,1156
1166,7,856
1370,8,1370
1724,6,1680
1709,7,970
987,6,483
1802,7,793
2345,6,952
1068,6,1059
1617,6,1604
1244,6,1244
1180,4,700
1223,7,600
1686,6,1686
1646,8,1638
1144,5,864
1797,7,939
1224,4,0
1865,7,992
1056,5,1056
3140,9,1926
1212,6,506
1694,8,1686
1511,6,802
1057,5,1057
2290,4,777
2183,7,1204
3222,7,1673
1716,7,880
1342,6,1372
1504,7,1346
1992,8,1053
1252,7,600
999,5,999
1363,4,622
1165,6,1127
1668,9,1626
2376,8,1158
1440,5,540
1470,6,794
1541,7,1541
1440,4,1440
1146,7,868
1494,8,1494
2224,9,1462
1343,5,731
2452,8,1028
1977,6,816
1767,7,1064
1324,8,1324
1458,6,912
1314,6,1314
1575,6,1575
1620,9,1620
1788,4,1104
913,6,814
2073,6,1542
1441,8,776
1690,7,815
1437,5,1188
2156,7,1568
864,5,864
1112,5,536
2243,7,700
1328,4,686
968,4,656
1396,6,698
1856,9,1856
2161,8,1582
1602,6,1602
1302,5,630
1509,6,783
912,5,912
1664,6,1004
1694,6,1181
747,4,747
1040,4,0
1660,7,831
1691,5,1026
864,5,864
752,6,744
1792,7,963
1626,7,764
1484,8,1476
3493,7,1470
1652,9,1652
1276,5,1276
1668,6,856
1192,4,720
884,5,840
2062,7,1157
827,5,0
2019,7,728
1304,5,264
1368,6,684
1605,3,840
2020,10,2006
1250,7,625
1624,8,1624
845,4,845
1389,5,1389
968,5,968
1092,4,546
848,6,848
1269,5,1269
1092,5,1092
2263,7,795
952,4,952
1452,4,736
1039,5,1039
1204,6,1204
1117,6,1029
2196,7,2158
985,5,985
1629,8,3206
1477,7,861
980,5,980
2295,7,1095
1502,6,602
2201,6,697
2078,8,1034
800,2,264
1578,8,1573
1932,8,1932
1507,5,1075
900,5,882
1718,10,1700
1750,5,636
2398,7,1379
1968,8,774
1536,7,1536
864,3,864
3228,8,3200
2149,7,1434
2640,7,1240
1682,7,1304
2098,8,1030
864,5,864
1968,5,784
1097,6,1040
1196,6,684
1920,5,1052
1728,5,1728
2031,8,1128
1196,6,1196
803,5,720
1620,5,780
2097,8,2077
1869,9,1869
1886,7,930
480,2,480
1296,4,0
816,4,816
1601,7,1271
1792,6,936
2520,8,1338
1144,5,1144
2601,5,612
1577,6,972
970,5,970
2036,7,2136
1026,6,1026
698,5,698
1533,7,1533
1382,5,720
1391,7,1391
1078,5,1078
1296,8,1267
1442,6,1442
1964,5,940
1502,7,1502
1392,6,1392
1768,4,1768
1582,5,1624
958,6,958
894,5,894
1224,6,1224
2332,10,1682
1269,8,1256
1776,8,1732
1456,6,728
1194,6,655
1008,5,1008
1555,7,1373
1784,5,747
1108,7,637
1394,5,384
1714,7,980
882,5,0
1306,3,728
1217,6,626
990,5,990
2452,8,1117
848,6,848
1369,6,672
1218,6,1218
2555,6,588
1247,8,1247
2872,6,1330
1652,8,1600
1844,6,1844
1971,7,1113
1800,6,982
1949,7,1050
630,4,630
1494,7,1494
968,3,600
1274,7,1274
1520,6,1156
1285,6,660
1509,7,783
1935,7,793
816,6,816
1200,7,1176
1470,4,941
1656,6,1080
792,5,768
1694,8,1694
1800,8,1800
2337,5,662
1846,6,1040
1026,6,940
904,5,876
1126,5,1126
2468,8,1136
988,6,938
1052,5,1052
1096,6,572
1141,6,1141
1790,6,732
1852,8,1004
754,6,520
1344,5,624
2207,7,1947
2358,6,907
2715,8,1142
1364,7,1364
1253,7,1237
1328,6,1328
1422,5,978
1986,7,768
952,6,952
1660,8,1660
2234,9,2216
790,6,768
1340,7,1340
1610,6,1610
2620,5,1361
1248,7,1248
912,6,912
1638,6,943
1622,4,1249
2320,6,1028
1144,5,1144
1520,5,793
1516,6,1516
1498,7,1498
1961,6,804
1456,7,728
2403,7,1032
1944,9,1896
1368,7,1368
1790,7,873
2713,9,1452
1271,5,720
1872,7,1845
2090,7,1190
1796,6,794
1302,7,1302
2524,8,2524
1374,4,840
1626,7,764
1034,5,735
1518,8,1518
1818,7,1040
1661,7,1649
1991,6,854
1482,7,650
1742,8,1742
1250,5,686
1176,6,816
1915,8,908
1595,6,940
1661,6,992
1935,8,832
1795,8,1777
1928,7,847
1159,5,1051
1456,6,855
1954,7,798
2028,8,1868
2898,8,1565
1674,7,814
974,5,974
1989,8,1065
2097,7,1080
1442,7,1424
1130,5,1120
1820,7,1026
2119,6,689
2576,8,1234
1020,5,780
1774,4,1095
904,1,683
1382,7,673
3608,10,1107
2210,6,1008
1572,6,806
1824,7,1643
1056,5,1056
1221,5,784
1362,6,1362
848,6,848
1434,7,1454
1208,7,1208
1466,5,796
1987,8,1986
2418,7,1311
1314,7,1314
1709,7,970
1218,6,672
3395,6,1440
1200,5,1200
912,5,912
4316,10,2444
1710,7,856
2374,8,1181
1564,7,704
1466,5,1466
1383,6,1383
1535,5,0
990,5,990
1646,7,918
1928,6,1020
1725,7,539
2872,8,1683
2112,6,952
1324,4,672
1200,7,600
1344,5,672
1668,7,840
1040,3,0
900,5,900
1559,5,1559
948,4,864
923,6,923
1552,7,1552
1717,7,756
1721,5,1461
987,6,483
1200,6,1200
1716,5,768
894,5,894
1771,5,0
1173,7,1053
1287,5,1063
1382,4,1051
2520,7,1203
1215,6,1215
2526,8,1165
1200,7,600
1728,5,1728
1710,7,576
2392,8,1396
1744,7,996
1665,7,813
2696,7,1264
864,4,864
672,4,672
1320,5,1164
958,6,1078
1710,7,1710
1265,5,1219
1456,8,1273
1539,5,927
1959,7,1907
1522,5,1008
1124,5,0
2090,7,1107
1214,5,1214
1779,5,1763
1629,8,1616
1554,8,1554
2236,7,964
796,4,796
1680,6,840
848,6,848
1142,5,1142
1252,6,1602
1684,9,1684
2000,8,2000
1616,7,1616
1872,8,1299
1576,5,1042
1982,7,807
988,5,876
1844,8,1844
1258,6,1258
1288,8,1260
1634,8,1626
1322,6,855
1414,8,707
1504,7,1504
1670,7,1670
2167,7,1192
1069,6,1069
1072,6,547
1572,5,1572
1869,5,1088
882,4,882
1922,9,1922
780,5,780
1601,5,533
1530,7,1530
833,5,833
1183,3,649
1040,5,1040
2828,8,1466
1252,6,1032
1246,5,1246
904,6,884
1652,5,686
1268,5,832
1913,6,896
1358,7,1358
1657,6,1657
838,6,816
2060,7,992
1626,7,764
1352,6,663
1376,5,768
1660,6,715
1412,6,616
1469,6,756
1430,7,384
1094,6,1094
1826,8,1814
924,5,672
1502,8,1488
1688,6,616
1262,6,1262
1905,9,1905
2031,7,1153
1350,6,1064
1829,7,941
965,5,828
924,4,672
2263,8,1055
2108,6,1127
1242,7,1242
1573,4,884
2035,7,884
1232,6,1232
1964,7,803
1140,4,576
894,5,894
2654,6,1054
768,5,768
912,4,0
2080,5,1040
1040,5,1040
1616,6,1149
1047,4,641
1803,5,1134
832,6,832
894,5,894
1192,5,596
1850,9,1833
899,5,864
892,5,864
2291,6,1214
2138,5,849
1604,6,926
2021,7,868
938,5,938
1426,7,912
1920,5,928
1098,5,1098
729,3,270
1252,6,1252
1584,5,1584
1506,9,1498
1709,9,1698
1092,5,1092
1746,9,1746
2287,7,1304
789,5,768
1041,5,1041
1908,8,967
2267,6,1010
875,5,715
1526,5,1216
1567,6,1567
2822,9,1734
1378,7,689
1738,4,715
2060,6,1151
1128,5,936
1720,7,840
1050,5,1050
1114,6,1114
1053,5,1008
1593,8,1593
1214,5,1214
816,5,816
1535,5,0
3112,8,1360
1919,8,1079
1097,5,1097
1750,6,983
987,6,483
981,6,981
1700,5,1398
816,5,816
1840,7,944
2521,6,942
1002,5,1002
841,4,721
996,6,936
1713,8,1713
1412,6,1392
1236,6,912
1040,4,1064
1616,8,1595
1414,6,1184
1950,7,975
1086,5,1086
1576,5,1324
768,5,768
1381,6,1161
2169,8,1284
720,3,0
2792,6,1510
936,4,936
1181,4,1138
1689,7,1689
948,4,948
1512,6,756
894,5,894
1852,7,900
845,4,0
774,3,544
3238,8,2033
1232,7,1232
1164,7,1164
1248,5,912
1687,5,747
1960,6,860
1092,4,546
894,4,894
1479,7,1453
1060,5,1060
1436,7,1436
1044,5,540
1768,7,880
816,6,816
1430,7,384
1867,5,1617
1500,7,1356
1100,4,1100
816,5,816
1328,5,1350
2296,10,1722
864,5,864
1266,7,1257
858,4,858
1710,6,832
1123,4,732
1647,6,953
874,5,864
1788,8,1753
1839,6,1477
1868,5,780
1712,5,1626
1229,6,561
1600,8,1566
1600,6,916
1344,5,896
1126,5,1126
923,5,876
616,5,616
1800,5,1800
1505,6,1505
1647,5,1430
1132,4,1132
1764,6,928
1529,4,0
2447,6,804
1504,7,1346
1163,3,1162
1525,6,756
935,5,935
813,6,813
2008,5,896
2329,7,1475
1558,5,910
1664,7,832
2110,7,2110
1786,6,824
1475,5,757
1387,5,811
1708,7,976
1734,6,912
2414,5,954
1908,7,915
1283,5,931
1212,7,1212
1548,7,952
980,5,980
1811,6,1073
1056,4,1056
1234,8,1234
1302,5,630
1406,6,319
858,5,858
2324,9,1175
910,5,105
1611,6,780
1560,6,684
2020,5,0
1338,8,1338
1188,5,1188
1459,7,1459
2260,7,1306
1430,7,1413
996,5,996
1092,6,1092
1250,7,625
1728,7,864
924,5,924
1199,6,1199
948,5,948
925,5,925
835,5,458
2466,8,1580
2157,7,924
1060,5,1040
2633,10,2633
1048,5,993
1664,6,953
784,6,784
1279,6,1196
1229,4,1134
1268,5,1268
1428,7,1428
1125,6,1041
1008,5,1008
1630,8,1622
1728,6,864
1211,5,952
1040,5,1040
1707,8,1686
1632,7,935
1392,5,1392
1319,5,608
1484,6,742
971,5,971
1062,6,1029
980,6,945
1405,7,1405
1671,6,959
1074,5,1056
2320,5,0
918,6,918
1437,5,1437
1069,6,1069
1556,6,727
1894,7,817
1973,8,1935
2978,7,710
848,6,848
1474,7,384
1056,5,1056
902,5,864
1032,6,1032
1077,5,961
1235,5,1235
1442,7,910
987,6,483
1004,6,975
1006,5,1006
1716,5,780
1720,7,860
960,4,960
1604,7,1604
2217,8,2217
1844,6,1844
1571,6,799
1479,7,1468
1786,5,1499
1632,6,1240
1768,8,866
1096,5,1096
2093,7,791
1348,6,660
1456,7,728
1600,5,1484
1700,6,1682
1593,6,808
1363,5,1008
1441,6,855
1710,8,1710
2110,7,948
1479,6,725
767,7,723
1496,7,654
1567,8,1520
1148,5,980
1970,8,1085
2810,8,1453
2630,8,1470
2274,5,1105
1261,6,1261
1486,5,1486
773,5,773
1537,6,1319
1779,7,866
1225,4,950
848,6,848
1376,6,780
1471,6,729
869,4,440
1458,6,729
894,5,864
1718,7,832
1701,5,1390
864,4,864
1855,6,528
1651,6,1606
1224,6,612
928,5,928
1092,4,0
1641,7,728
1416,6,708
1904,8,1058
936,5,936
1556,6,716
864,4,864
1654,7,1654
1416,5,816
2365,8,1252
1067,4,1067
1902,6,0
1557,7,1374
1839,7,1195
